Handle,Title,Body HTML,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Variant Inventory Policy,Image Src,Image Position,Status,Command
bk-bdfn26430w,Lavavajillas ProSmart™ Inverter blanco 14C Beko BDFN26430W,"<ul><li>Motor ProSmart™ Inverter</li><li>HygieneIntense</li><li>SaveWater</li><li>HygieneIntense</li><li>6 programas (Automático, Intensivo 70 °C, Eco 50 °C, Delicado 40 °C, Quick & Shine®, Mini)</li><li>2 aspersores</li><li>Depósito de sal</li><li>SelfDry™ - Apertura automática de puerta</li><li>Opción media carga</li><li>Inicio diferido</li><li>Nivel de ruido: 47dBA</li><li>Dimensiones del producto (AnxAlxProf.): 59,8 x 85 x 60cm</li><li>Peso: 43,7Kg</li><li>Voltaje 220-240V</li><li>Frecuencia 50Hz</li></ul>",Beko,Electro,"Lavavajillas, Beko, stock-verificado",TRUE,Modelo,Lavavajillas ProSmart™ Inverter blanco 14C Beko BDFN26430W,BDFN26430W,799.00,,10,deny,https://f.fcdn.app/imgs/571d51/www.tiendabeko.com.uy/bekouy/7a40/original/catalogo/BDFN26430W_BDFN26430W_1/1024-1024/lavavajillas-prosmart-inverter-blanco-14c-beko-bdfn26430w-lavavajillas-prosmart-inverter-blanco-14c-beko-bdfn26430w.jpg,1,,
bk-bdfn26430w,,,,,,,,,,,,,,https://f.fcdn.app/imgs/52da9a/www.tiendabeko.com.uy/bekouy/adc2/original/catalogo/BDFN26430W_BDFN26430W_2/1024-1024/lavavajillas-prosmart-inverter-blanco-14c-beko-bdfn26430w-lavavajillas-prosmart-inverter-blanco-14c-beko-bdfn26430w.jpg,2,,
bk-bdfn26430w,,,,,,,,,,,,,,https://f.fcdn.app/imgs/4c66d3/www.tiendabeko.com.uy/bekouy/c1e3/original/catalogo/BDFN26430W_BDFN26430W_3/1024-1024/lavavajillas-prosmart-inverter-blanco-14c-beko-bdfn26430w-lavavajillas-prosmart-inverter-blanco-14c-beko-bdfn26430w.jpg,3,,
bk-bdfn26430w,,,,,,,,,,,,,,https://f.fcdn.app/imgs/a7ad4a/www.tiendabeko.com.uy/bekouy/3b91/original/catalogo/BDFN26430W_BDFN26430W_4/1024-1024/lavavajillas-prosmart-inverter-blanco-14c-beko-bdfn26430w-lavavajillas-prosmart-inverter-blanco-14c-beko-bdfn26430w.jpg,4,,
bk-bdfn26430w,,,,,,,,,,,,,,https://f.fcdn.app/imgs/0d45ef/www.tiendabeko.com.uy/bekouy/c04f/original/catalogo/BDFN26430W_BDFN26430W_5/1024-1024/lavavajillas-prosmart-inverter-blanco-14c-beko-bdfn26430w-lavavajillas-prosmart-inverter-blanco-14c-beko-bdfn26430w.jpg,5,,
bk-bdfn26430x,Lavavajillas ProSmart™ Inverter Inox 14C Beko BDFN26430X,"<ul><li>Motor ProSmart™ Inverter</li><li>HygieneIntense</li><li>SaveWater</li><li>HygieneIntense</li><li>6 programas (Automático, Intensivo 70 °C, Eco 50 °C, Delicado 40 °C, Quick & Shine®, Mini)</li><li>2 aspersores</li><li>Depósito de sal</li><li>SelfDry™ - Apertura automática de puerta</li><li>Opción media carga</li><li>Inicio diferido</li><li>Nivel de ruido: 47dBA</li><li>Dimensiones del producto (AnxAlxProf.): 59,8 x 85 x 60cm</li><li>Peso: 43,7Kg</li><li>Voltaje 220-240V</li><li>Frecuencia 50Hz</li></ul>",Beko,Electro,"Lavavajillas, Beko, stock-verificado",TRUE,Modelo,Lavavajillas ProSmart™ Inverter Inox 14C Beko BDFN26430X,BDFN26430X,899.00,,10,deny,https://f.fcdn.app/imgs/c52650/www.tiendabeko.com.uy/bekouy/30ea/original/catalogo/BDFN26430X_BDFN26430X_1/1024-1024/lavavajillas-prosmart-inverter-inox-14c-beko-bdfn26430x-lavavajillas-prosmart-inverter-inox-14c-beko-bdfn26430x.jpg,1,,
bk-bdfn26430x,,,,,,,,,,,,,,https://f.fcdn.app/imgs/124368/www.tiendabeko.com.uy/bekouy/2567/original/catalogo/BDFN26430X_BDFN26430X_2/1024-1024/lavavajillas-prosmart-inverter-inox-14c-beko-bdfn26430x-lavavajillas-prosmart-inverter-inox-14c-beko-bdfn26430x.jpg,2,,
bk-bdfn26430x,,,,,,,,,,,,,,https://f.fcdn.app/imgs/61b174/www.tiendabeko.com.uy/bekouy/c1e3/original/catalogo/BDFN26430X_BDFN26430X_3/1024-1024/lavavajillas-prosmart-inverter-inox-14c-beko-bdfn26430x-lavavajillas-prosmart-inverter-inox-14c-beko-bdfn26430x.jpg,3,,
bk-bdfn26430x,,,,,,,,,,,,,,https://f.fcdn.app/imgs/d02f0c/www.tiendabeko.com.uy/bekouy/3b91/original/catalogo/BDFN26430X_BDFN26430X_4/1024-1024/lavavajillas-prosmart-inverter-inox-14c-beko-bdfn26430x-lavavajillas-prosmart-inverter-inox-14c-beko-bdfn26430x.jpg,4,,
bk-bdfn26430x,,,,,,,,,,,,,,https://f.fcdn.app/imgs/faf49b/www.tiendabeko.com.uy/bekouy/13fd/original/catalogo/BDFN26430X_BDFN26430X_5/1024-1024/lavavajillas-prosmart-inverter-inox-14c-beko-bdfn26430x-lavavajillas-prosmart-inverter-inox-14c-beko-bdfn26430x.jpg,5,,
