Handle,Title,Body HTML,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Variant Inventory Policy,Image Src,Image Position,Status,Command
jm-xi-led85w,"TV led smart 85"" 4k whale","<ul><li>Sistema operativo Whale TV</li><li>WIFI</li><li>Memoria 1,5GB RAM, 8GB ROM</li><li>Sintonizador digital ISDBT</li><li>Bluetooth</li><li>3 HDMI</li><li>2 Puertos USB Movie</li><li>Conexión VGA</li><li>Audio IN</li></ul>",Xion,Electro,"TV, Xion, stock-verificado",TRUE,Color,COLOR UNICO,XI-LED85W-CU-U,50610.00,52186.00,10,deny,https://f.fcdn.app/imgs/5843e1/joacamar.com.uy/joacuy/7143/original/catalogo/XI-LED85W_CU_1/1024-1024/tv-led-smart-85-4k-whale-color-unico.jpg,1,active,
jm-xi-led85w,,,,,,,,,,,,,,https://f.fcdn.app/imgs/1a5e52/joacamar.com.uy/joacuy/a4f9/original/catalogo/XI-LED85W_CU_2/1024-1024/tv-led-smart-85-4k-whale-color-unico.jpg,2,,
jm-xi-led85w,,,,,,,,,,,,,,https://f.fcdn.app/imgs/7d5557/joacamar.com.uy/joacuy/a4f9/original/catalogo/XI-LED85W_CU_3/1024-1024/tv-led-smart-85-4k-whale-color-unico.jpg,3,,
jm-xi-led100w,"TV led smart 100"" 4k whale","<ul><li>TELEVISOR LED SMART 100"" 4K WHALE</li><li>Sistema operativo Whale TV</li><li>WIFI</li><li>Memoria 1.5 GB RAM, 8GB ROM</li><li>Sintonizador digital ISDBT</li><li>3 HDMI</li><li>2 USB Movie</li><li>Audio IN</li><li>Medidas: 224 x 127 cm</li></ul>",Xion,Electro,"TV, Xion, stock-verificado",TRUE,Color,COLOR UNICO,XI-LED100W-CU-U,117262.00,,10,deny,https://f.fcdn.app/imgs/aaf143/joacamar.com.uy/joacuy/cc07/original/catalogo/XI-LED100W_CU_1/1024-1024/tv-led-smart-100-4k-whale-color-unico.jpg,1,active,
jm-xi-led100w,,,,,,,,,,,,,,https://f.fcdn.app/imgs/f07da4/joacamar.com.uy/joacuy/a1e7/original/catalogo/XI-LED100W_CU_2/1024-1024/tv-led-smart-100-4k-whale-color-unico.jpg,2,,
jm-xi-hairone4x1,afeitadora rasuradora corporal one blade 4 en 1,"<ul><li>3 cabezales intercambiables: recortadora de barba, corporal, trimmer y afeitadora.</li><li>Waterproof IPX7</li><li>Funcionamiento inalámbrico</li><li>Hoja de acero inoxidable</li><li>Motor de alta performance y duración 5 peines de corte: 5 mm, 3 mm, 2 mm, 1 mm y 0</li><li>Voltaje: 3.7 V</li><li>Batería de lithium 600 mAh</li><li>Tiempo de carga: 2 h.</li></ul>",Xion,Electro,"Cuidado Personal, Xion, stock-verificado",TRUE,Color,COLOR UNICO,XI-HAIRONE4X1-CU-U,1368.00,1617.00,10,deny,https://f.fcdn.app/imgs/240bf4/joacamar.com.uy/joacuy/c2e5/original/catalogo/XI-HAIRONE4X1_CU_1/1024-1024/afeitadora-rasuradora-corporal-one-blade-4-en-1-color-unico.jpg,1,active,
jm-xi-hairone4x1,,,,,,,,,,,,,,https://f.fcdn.app/imgs/39a5b7/joacamar.com.uy/joacuy/5d27/original/catalogo/XI-HAIRONE4X1_CU_2/1024-1024/afeitadora-rasuradora-corporal-one-blade-4-en-1-color-unico.jpg,2,,
jm-xi-hairone4x1,,,,,,,,,,,,,,https://f.fcdn.app/imgs/1c6e9d/joacamar.com.uy/joacuy/43f2/original/catalogo/XI-HAIRONE4X1_CU_3/1024-1024/afeitadora-rasuradora-corporal-one-blade-4-en-1-color-unico.jpg,3,,
jm-xi-hairone4x1,,,,,,,,,,,,,,https://f.fcdn.app/imgs/a83322/joacamar.com.uy/joacuy/4827/original/catalogo/XI-HAIRONE4X1_CU_4/1024-1024/afeitadora-rasuradora-corporal-one-blade-4-en-1-color-unico.jpg,4,,
jm-xi-hairone4x1,,,,,,,,,,,,,,https://f.fcdn.app/imgs/1924d7/joacamar.com.uy/joacuy/4090/original/catalogo/XI-HAIRONE4X1_CU_5/1024-1024/afeitadora-rasuradora-corporal-one-blade-4-en-1-color-unico.jpg,5,,
jm-xi-led50w,"TV led smart 50"" 4K Whale TV","<ul><li>Sistema operativo: whale</li><li>Marco SLIM</li><li>WIFI</li><li>Memoria 1 RAM, 8GB ROM</li><li>Sintonizador digital ISDBT</li><li>Bluetooth</li><li>3 HDMI</li><li>2 Puertos USB Movie</li><li>Conexión VGA</li><li>Audio IN</li></ul>",Xion,Electro,"TV, Xion, stock-verificado",TRUE,Color,COLOR UNICO,XI-LED50W-CU-U,15254.00,15710.00,10,deny,https://f.fcdn.app/imgs/030fab/joacamar.com.uy/joacuy/4db6/original/catalogo/XI-LED50W_CU_1/1024-1024/tv-led-smart-50-4k-whale-tv-color-unico.jpg,1,active,
jm-xi-led50w,,,,,,,,,,,,,,https://f.fcdn.app/imgs/87fed9/joacamar.com.uy/joacuy/85a6/original/catalogo/XI-LED50W_CU_2/1024-1024/tv-led-smart-50-4k-whale-tv-color-unico.jpg,2,,
